kol1,kol2,kol3,kol4,kol5,kol6
82,-1.5332747398568409,-0.79285687193146048,-0.7922285687775168,-0.78982194330392896,1
83,-1.5607293437443448,-0.91279545613963997,-0.91804627535474082,-0.90771480236206559,1
84,-1.5729775153465209,-1.0181783506147906,-1.0109154653471797,-1.0052252079142907,1
85,-1.541388452312084,-0.87832293041656873,-0.87539458893122402,-0.86758380835377524,1
86,-1.5345687451619869,-0.80072562095466004,-0.79976820662484116,-0.79292232017666298,1
87,-1.5618438338626497,-0.92783359293730416,-0.92181235437867715,-0.91736748355449804,1
88,-1.5746118515267196,-1.0101674854020086,-1.0190946260476252,-1.0129518407479079,1
89,-1.5458950314817397,-0.88210396903940846,-0.88814764699639059,-0.87533288058574743,1
90,-1.5523500984085659,-0.80954804440795269,-0.81515789399673566,-0.80936665927124873,1
91,-1.5668534295454328,-0.92628901435052591,-0.92356262745037743,-0.92314562863094451,1
92,-1.5724483195353123,-1.020987015308908,-1.0284107162647307,-1.0238050297523398,1
93,-1.5549773779659792,-0.88808032880132526,-0.89302073633918011,-0.8875847920876494,1
94,-1.5565481358508384,-0.83316177127700308,-0.83289249849674152,-0.82019740887732573,1
95,-1.5725885657750318,-0.92833473950056877,-0.93413158407564445,-0.92778310429100508,1
96,-1.5751242177891618,-1.0209720557100046,-1.020366191954416,-1.0153004977757449,1
97,-1.5588724835304575,-0.89626696930122252,-0.90024622260953246,-0.89554703860399532,1
98,-1.5445729769286498,-0.80177653277762539,-0.80865794827319915,-0.7987864829468041,1
99,-1.5754608087644888,-0.9479692130613091,-0.9523486356402856,-0.94442939797078707,1
100,-1.5806368299850724,-1.040082943309125,-1.0438789415308682,-1.0351518855205848,1
101,-1.5499079438875825,-0.87995352669704163,-0.89288236004932342,-0.87908400001078035,1
102,-1.5477892906928854,-0.81581611634848616,-0.8163471821095577,-0.80411584005614789,1
103,-1.5580515755406323,-0.93254586659188177,-0.93354067991895928,-0.92329148472025291,1
104,-1.5759357760296724,-1.0281863222811793,-1.036361743081899,-1.0304134325679262,1
105,-1.5577318141140717,-0.88717153316794239,-0.88842813947582977,-0.88518003656392441,1
106,-1.5645945301110162,-0.81905112961135107,-0.82206548879039043,-0.8169249966172023,1
107,-1.5798533209925059,-0.94778595797474219,-0.94587486921483011,-0.94263424610237645,1
108,-1.5715563534506958,-1.0302956257265619,-1.0263462916160586,-1.0242051990230063,1
109,-1.546250321955696,-0.88455360335984368,-0.88242934031555786,-0.88105118726658016,1
110,-1.5572867660466949,-0.82608214109595901,-0.82260029445118776,-0.81737378458430499,1
111,-1.5727250721150257,-0.95523583822864588,-0.95537795441822837,-0.94875272205387573,1
112,-1.5843000617665477,-1.0415415042022087,-1.0425811963259963,-1.0370255752832385,1
113,-1.5464466666913033,-0.87151631291551213,-0.87400708613293177,-0.86333902216492953,1
114,-1.5383890527319481,-0.80546033400759287,-0.80825777900253259,-0.7981394802942311,1
115,-1.5745987618776791,-0.94216862858650752,-0.94921459967001887,-0.94033046787124963,1
116,-1.5798907199897643,-1.0433553555692485,-1.0424166407380588,-1.0331435593678007,1
117,-1.5437988176853978,-0.87233161105574852,-0.87276917932367359,-0.86284161550139071,1
118,-1.551028043855476,-0.8132767244346305,-0.81185182263907962,-0.8031546858266031,1
119,-1.566226996341352,-0.9505684433707785,-0.94973818563163859,-0.94242481171772863,1
120,-1.5770614858471548,-1.0423717619413486,-1.0405018120784209,-1.0405149017274613,1
121,-1.5396381792403837,-0.85954863379277513,-0.8643506650407734,-0.86062759486368445,1
122,-1.5385068595733125,-0.80136514380778134,-0.80295834109099573,-0.79656872240937193,1
123,-1.5794961605686866,-0.93590803644542575,-0.93476362712931405,-0.92988118803720987,1
124,-1.5795372994656711,-1.0399370872198168,-1.043987398622918,-1.0343515469792519,1
125,-1.5551251040051506,-0.87740291508400836,-0.88189453465476053,-0.8736686252077418,1
126,-1.5405638044225329,-0.79078496748333671,-0.79274841483941072,-0.79119448650331781,1
127,-1.5562152847752373,-0.93314425054801864,-0.93639796330951275,-0.93286936791816832,1
128,-1.574342578746458,-1.0226550105866394,-1.0212787274875246,-1.0113848227627744,1
129,-1.5452068899321822,-0.87527117224027084,-0.87644176085446357,-0.86566149989468566,1
130,-1.5456332385009297,-0.80506016473692632,-0.80407283120930051,-0.79686043458798861,1
131,-1.5643925755258199,-0.93424752096714592,-0.93430735936275966,-0.92261830276959889,1
132,-1.5827667028789472,-1.0269895543689056,-1.0344880533192455,-1.0299010663054839,1
133,-1.5591024873635977,-0.86133256596200813,-0.86735006462090924,-0.86205249665923522,1
134,-1.5437894679360831,-0.81092058760734165,-0.80919649383372227,-0.80433275424024753,1
135,-1.5684615864275506,-0.94223968668129876,-0.93910939061075782,-0.93703935611249689,1
136,-1.5686261420154881,-1.0243342255635484,-1.0227111090825272,-1.0161494550135142,1
137,-1.5436941004930738,-0.86772031469376898,-0.8648480717043121,-0.86146533240227596,1
138,-1.5494909450681495,-0.79760654458329672,-0.80488812934953702,-0.79412656788838842,1
139,-1.579795352546755,-0.95176895118277804,-0.95641390664229031,-0.94883125994811868,1
